;=========================================================================================================================;
;      ___                       _   __                   ___                              _         __   _               ;
;     /   |  ___   _____ ____   / | / /____ _ _   __     /   |   _____ _____ ____   _____ (_)____ _ / /_ (_)____   ____   ;
;    / /| | / _ \ / ___// __ \ /  |/ // __ `/| | / /    / /| |  / ___// ___// __ \ / ___// // __ `// __// // __ \ / __ \  ;
;   / ___ |/  __// /   / /_/ // /|  // /_/ / | |/ /    / ___ | (__  )(__  )/ /_/ // /__ / // /_/ // /_ / // /_/ // / / /  ;
;  /_/  |_|\___//_/    \____//_/ |_/ \__,_/  |___/    /_/  |_|/____//____/ \____/ \___//_/ \__,_/ \__//_/ \____//_/ /_/   ;
;     ______ __        __            __   _   __                 ______                                 __                ;
;    / ____// /____   / /_   ____ _ / /  / | / /____ _ _   __   / ____/___   ____   ___   _____ ____ _ / /_ ____   _____  ;
;   / / __ / // __ \ / __ \ / __ `// /  /  |/ // __ `/| | / /  / / __ / _ \ / __ \ / _ \ / ___// __ `// __// __ \ / ___/  ;
;  / /_/ // // /_/ // /_/ // /_/ // /  / /|  // /_/ / | |/ /  / /_/ //  __// / / //  __// /   / /_/ // /_ / /_/ // /      ;
;  \____//_/ \____//_.___/ \__,_//_/  /_/ |_/ \__,_/  |___/   \____/ \___//_/ /_/ \___//_/    \__,_/ \__/ \____//_/       ;
;                                                                                                                         ;
;=========================================================================================================================;
;                                                                                                                         ;
;  ALL RIGHTS RESERVED © AeroNav Association. NAV-DATA © NAVIGRAPH.                                                       ;
;  FILES MUST NOT BE DISTRIBUTED OUTSIDE OF AERONAV SERVICES!                                                             ;
;                                                                                                                         ;
;=========================================================================================================================;
;  The Global Nav Generator (GNG) and all it sub-modules where created by the AeroNav Association.                        ;
;  All files generated by the GNG belong to the AeroNav Association and must only be hosted on the AeroNav/GNG Homepage.  ;
;  The final responsibility for the content of this file lies with the publishing vACC itself.                            ;
;                                                                                                                         ;
;  This file is protected by copyright laws. You may install it on your computer for your personal, non-commercial use    ;
;  only. The data must not be copied, photocopied, translated, reverse engineered, decompiled or reduced to any           ;
;  electronic medium or machine legible form, neither completely nor in part.                                             ;
;=========================================================================================================================;
;  AIRAC 2607/1  ++  File-Publisher: Vancouver FIR - CZVR                                                                 ;
;=========================================================================================================================;
07EBA	33.492514	9.217400	14	G869	B	EBA	31.705861	9.254667		Y	GILEX	33.903611	9.208611		Y
26KIN	-4.308333	24.321667	14	ATS14	B	DITRO	-4.625000	23.960000		Y	KI452	-3.418333	25.353333		Y
37IRO	5.075000	24.353333	14	ATS17	B	IRO	2.813333	27.601667		Y					N
5950N	59.000000	-50.000000	14	Y689	B	IDROT	59.856667	-48.341667		Y					N
60VLI	-15.000000	168.033333	14	B590	B	KAPNO	-11.328333	167.731667		Y	VLI	-17.662150	168.243933		Y
61YCY	73.148333	-68.681389	14	BR20	B	JULET	72.761667	-68.657500		Y					N
62KGI	0.325000	22.625000	14	ATS1	B	IVDIG	0.306047	22.371667		Y	KGI	0.495867	25.317700		Y
62KGI	0.325000	22.625000	14	UR984	B	EDLAM	0.096667	22.855000		Y	GUROT	0.643992	22.306844		Y
72PCA	14.566667	111.925000	14	M771	B	DAMEL	13.978333	111.510000		N	DONDA	14.703333	112.021667		Y
AA	68.723147	-52.784825	14	UW22	B	NYGAR	68.232222	-52.311389		Y					N
AA	68.723147	-52.784825	14	UW30	B	KUKAK	68.199722	-53.067500		Y					N
AA	68.723147	-52.784825	14	UW31	B	ASMOD	68.985833	-51.934167		Y					N
AA	68.723147	-52.784825	14	W22	B	GODUT	68.343056	-52.416389		Y					N
AA	68.723147	-52.784825	14	W30	B	KUKAK	68.199722	-53.067500		Y					N
AA	68.723147	-52.784825	14	W31	B	ASMOD	68.985833	-51.934167		Y					N
AA	-37.004639	174.813639	14	A346	B	SALAG	-34.845050	171.683364		Y					N
AA	-37.004639	174.813639	14	A464	B	UPLAR	-35.565339	171.093136		Y					N
AA	-37.004639	174.813639	14	A578	B	KALAG	-33.694261	175.323831		Y					N
AA	-37.004639	174.813639	14	A580	B	AGREX	-33.725117	175.564372		Y					N
AA	-37.004639	174.813639	14	A597	B	DUGAN	-33.879478	173.390172		Y					N
AA	-37.004639	174.813639	14	B575	B	OKTUB	-35.213969	176.160044		Y					N
AA	-37.004639	174.813639	14	G347	B	TARIB	-34.066142	176.748078		Y					N
AA	-37.004639	174.813639	14	G591	B	KYPRA	-36.515822	174.415947		Y					N
AA	-37.004639	174.813639	14	G594	B	AKLOM	-35.357856	178.394161		Y					N
